Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2023-03-31,Yes,2025-05-23,112.0,112,44819.03762837738,22047512.12271838
2023-04-06,Yes,2025-05-23,111.0,111,44081.429174040015,20956210.15148404
2023-04-14,Yes,2025-05-30,111.0,111,43735.06302778949,22270022.99702779
2023-04-21,Yes,2025-05-30,110.0,110,43000.35098400223,21516244.182824004
2023-04-28,Yes,2025-05-30,109.0,109,42544.68676938017,20557186.93481938
2023-05-05,Yes,2025-06-06,109.0,109,42378.39253050732,22661894.159890506
2023-05-12,Yes,2025-06-06,108.0,108,42295.94773720401,21588891.510217205
2023-05-19,Yes,2025-06-06,107.0,107,41824.72284421437,20425028.460114215
2023-05-26,Yes,2025-06-27,109.0,109,42311.38251120992,22151408.375841208
2023-06-02,Yes,2025-06-27,108.0,108,41532.08288632528,20988438.34688633
2023-06-09,Yes,2025-07-18,110.0,110,42118.67549409118,22401776.503874093
2023-06-16,Yes,2025-07-18,109.0,109,42086.54840676057,21270724.445296764
2023-06-23,Yes,2025-07-18,108.0,108,41855.069465182736,20246171.946395185
2023-06-30,Yes,2025-07-25,108.0,108,41726.37484421437,20959721.35410422
2023-07-07,Yes,2025-08-08,109.0,109,42030.62151120992,20940912.59203121
2023-07-14,Yes,2025-08-15,109.0,109,41758.16351120992,20184004.19409121
2023-07-21,Yes,2025-10-03,115.0,115,43809.16429923157,21160858.49110923
2023-07-28,Yes,2025-10-03,114.0,114,43894.48972006916,20132355.08516007
2023-08-04,Yes,2025-10-31,117.0,117,44799.17029923155,20369989.457639232
2023-08-11,Yes,2025-12-05,121.0,121,46569.24229591538,25116821.543935917
2023-08-18,Yes,2025-12-05,120.0,120,46828.257335804185,23960845.724495806
2023-08-25,Yes,2025-12-05,119.0,119,46420.94149409118,21008092.82553409
2023-09-01,Yes,2026-02-13,128.0,128,49768.87352800054,20992757.676327996
2023-09-08,Yes,2026-02-13,127.0,127,49548.809433493356,20046771.524593495
2023-09-15,Yes,2026-02-20,127.0,127,50051.41891217146,23494059.99815217
2023-09-22,Yes,2026-02-20,126.0,126,49828.379299231565,22448834.077759232
2023-09-29,Yes,2026-02-20,125.0,125,50017.01729591537,21422360.54028591
2023-10-06,Yes,2026-02-20,124.0,124,49822.3203,20422019.52211
2023-10-13,Yes,2026-03-06,125.0,125,50539.80378545855,22212462.353705462
2023-10-20,Yes,2026-03-06,124.0,124,50385.580177472286,21188331.993527472
2023-10-27,Yes,2026-03-06,123.0,123,50726.425146210044,20654846.052516207
2023-11-03,Yes,2026-03-13,123.0,123,51189.54488922877,25908285.45125923
2023-11-10,Yes,2026-03-13,122.0,122,51348.14688922876,25694044.03992923
2023-11-17,Yes,2026-03-13,121.0,121,50479.245069200966,24649376.9432792
2023-11-24,Yes,2026-03-13,120.0,120,49311.45928153202,23459343.00010153
2023-12-01,Yes,2026-03-13,119.0,119,48389.651135266366,22608218.02166526
2023-12-08,Yes,2026-03-13,118.0,118,47855.587027789494,21983794.168787792
2023-12-15,Yes,2026-03-13,117.0,117,47091.72714621004,20835251.30620621
2023-12-22,Yes,2026-04-02,119.0,119,47172.21659924406,25922524.396199245
2023-12-29,Yes,2026-04-02,118.0,118,46965.12868537819,25473829.105215378
2024-01-05,Yes,2026-04-02,117.0,117,46466.779737204015,25023252.799637206
2024-01-12,Yes,2026-04-02,116.0,116,46041.69127198925,24118174.641491987
2024-01-19,Yes,2026-04-02,115.0,115,45313.554236353346,22778648.458126355
2024-01-26,Yes,2026-04-02,114.0,114,44239.43713526636,21463376.48473527
2024-02-02,Yes,2026-04-02,113.0,113,43316.66396197738,20172314.304001972
