Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2024-03-22,Yes,2026-04-10,107.0,107,38242.69946518274,38842.69946518274,21056268.762835182,3397.699465182738,34845.0,6,101,629213.5716300003
2024-03-28,Yes,2026-04-10,106.0,106,37208.97349409118,37808.97349409118,22224609.54479409,2708.97349409118,34500.0,6,100,664841.3557
2024-04-05,Yes,2026-04-17,106.0,106,36705.589961977385,37305.589961977385,23439801.34324198,2205.5899619773795,34500.0,6,100,597658.4877200002
2024-04-12,Yes,2026-04-17,105.0,105,36108.31126505013,36708.31126505013,22010473.10986505,1953.3112650501255,34155.0,6,99,560861.6193999999
2024-04-19,Yes,2026-04-17,104.0,104,35715.12419622021,36315.12419622021,20649278.54397622,2250.1241962202116,33465.0,7,97,525773.5172199998
2024-04-26,Yes,2026-05-08,106.0,106,36708.07568537819,37308.07568537819,30542382.66845538,2208.075685378195,34500.0,6,100,491112.74423000007
2024-05-03,Yes,2026-05-08,105.0,105,36409.43573720401,37009.43573720401,28528014.0008972,1909.435737204014,34500.0,5,100,458275.92184000014
2024-05-10,Yes,2026-05-08,104.0,104,36455.59584421437,37055.59584421437,26623368.642214213,2990.595844214365,33465.0,7,97,427153.07462999976
2024-05-17,Yes,2026-05-08,103.0,103,36291.03351120992,36891.03351120992,24812142.63802121,2826.033511209919,33465.0,6,97,397595.17248999997
2024-05-24,Yes,2026-05-08,102.0,102,36080.408886325284,36680.408886325284,22970768.034226328,2615.408886325283,33465.0,5,97,367571.2666600001
2024-05-31,Yes,2026-05-08,101.0,101,35663.05149409118,36263.05149409118,21335739.55420409,2198.0514940911803,33465.0,4,97,340953.15529
2024-06-07,No,Not reached by 2026-08-12,,114,40267.676066115964,40867.676066115964,12096064.829016121,3007.676066115961,37260.0,6,108,316060.53404999996
2024-06-14,No,Not reached by 2026-08-12,,113,39931.93446518274,40531.93446518274,11130503.659565184,3016.9344651827387,36915.0,6,107,290294.16190000006
2024-06-21,No,Not reached by 2026-08-12,,112,39498.92169873946,40098.92169873946,10198919.850278737,2928.921698739463,36570.0,6,106,265468.17442000005
2024-06-28,No,Not reached by 2026-08-12,,111,38970.6200179325,39570.6200179325,9385693.65421793,2400.6200179325,36570.0,5,106,243836.56080000006
2024-07-05,No,Not reached by 2026-08-12,,110,38592.3920985,39192.3920985,8594901.916128498,2022.3920985000002,36570.0,4,106,222763.28897000002
2024-07-12,No,Not reached by 2026-08-12,,109,37987.6273,38587.6273,7819931.998800002,1417.6273,36570.0,3,106,202170.4025
2024-07-19,No,Not reached by 2026-08-12,,108,37374.095,37974.095,6969033.412299997,804.095,36570.0,2,106,179544.11570000008
2024-07-26,No,Not reached by 2026-08-12,,107,36480.51669873946,37080.51669873946,5629530.528658741,1635.5166987394628,34845.0,6,101,143907.99803999998
2024-08-02,No,Not reached by 2026-08-12,,106,36077.56873720401,36677.56873720401,5121446.393857203,1577.5687372040138,34500.0,6,100,130410.08188000004
2024-08-09,No,Not reached by 2026-08-12,,105,36165.86484421437,36765.86484421437,4781144.070054214,1665.8648442143663,34500.0,5,100,121269.97778999998
2024-08-16,No,Not reached by 2026-08-12,,104,36090.036511209924,36690.036511209924,4497349.928401209,1590.0365112099212,34500.0,4,100,113698.23610999995
2024-08-23,No,Not reached by 2026-08-12,,103,35976.37988632528,36576.37988632528,4187289.225356327,1476.3798863252823,34500.0,3,100,105429.17353000004
2024-08-30,No,Not reached by 2026-08-12,,102,35675.31049409118,36275.31049409118,3916574.077644091,1520.3104940911808,34155.0,3,99,98254.66484999999
2024-09-06,No,Not reached by 2026-08-12,,101,35508.51606611596,36108.51606611596,3647408.3491261182,3078.516066115961,32430.0,7,94,91095.97993999996
